SAM,SAH,GAA_INT,GAA_EXT,CR,met,atp,v_sams,v_gamt,km_sams_atp,km_sams_met,ki_sams_sam,km_gamt_sam,km_gamt_gaa_int,ki_gamt_sah,hct
0,0,5,100,0,0,0,0,0,0,0,0,0,0,0,1
0,0,12,250,0,0,0,0,0,0,0,0,0,0,0,1
0,0,25,500,0,0,0,0,0,0,0,0,0,0,0,1
0,0,52,1000,0,0,0,0,0,0,0,0,0,0,0,1
100,13,660,1000,26,12,1100,0.033,33,80,2,2,14.8,78,0.4,1
500,13,663,1000,73,12,1100,0.033,33,80,2,2,14.8,78,0.4,1
35,13,598,1000,1,12,1100,0.033,0,80,2,2,14.8,78,0.4,1
35,13,37,500,0,12,1100,0.033,15,2,80,2,14.8,78,0.4,1
35,13,37,500,0,20,1100,20,15,73,75,0,14.8,78,0.4,1
35,13,37,500,0,20,1100,40,15,73,75,0,14.8,78,0.4,1
35,13,37,500,0,20,1100,200,15,73,75,0,14.8,78,0.4,1
35,13,37,500,0,20,1100,400,15,73,75,0,14.8,78,0.4,1
35,13,37,500,0,20,1100,1000,15,73,75,0,14.8,78,0.4,1
35,13,37,500,0,20,1100,2000,15,73,75,0,14.8,78,0.4,1
